authdate,processing,amount,realm_ID,Intuit CSID,Our CSID
4/2/2019 5:06,ACH,204,98768344,,cffe0ed1bc9b4a3683ce40e2f8614c12
4/1/2019 11:07,ACH,9604.96,744472550,,25e2fa2c553d4f02a1ab33d1c1d70c71
4/1/2019 11:06,ACH,9549.6,744472550,,7fb0945b59cf4434a36d51ddfeb9d7b0
4/1/2019 11:06,ACH,9881.76,744472550,,a56d30e3bb944f07abcaf65bd1e29ad3
4/1/2019 15:38,ACH,433,73592324,,8bf008a94cd942f3b7c74fd978977ffa
4/2/2019 14:46,ACH,5000,1.93515E+14,58e048d3-3eee-4b12-8246-94e3732e5116,58e048d33eee4b12824694e3732e5116
4/1/2019 16:02,ACH,1600,1.93515E+14,7b0dfdf3-a276-4ab9-a530-77afce291f5f,7b0dfdf3a2764ab9a53077afce291f5f
3/30/2019 1:03,ACH,2500,1.93515E+14,,4614508b3f8b4b6db642f67bb5d1af83
4/1/2019 12:03,ACH,13520,1.93515E+14,da762994-6e57-4592-a515-c96db9506687,da7629946e574592a515c96db9506687
3/30/2019 20:53,ACH,489.99,1.93515E+14,,fdd5427715914cfbad5c5717d0e78caa
3/29/2019 6:50,Card,150,1.93515E+14,,ef9f60b8a51246a1b42351911398c4a0
4/2/2019 7:41,ACH,588.5,1.93515E+14,f20a4c3d-b9b6-478b-8a50-96bc92ad0f7a,f20a4c3db9b6478b8a5096bc92ad0f7a
4/1/2019 7:23,ACH,1432.43,1.93515E+14,b92ffdab-6efd-48bb-9e42-6be83d1dccad,b92ffdab6efd48bb9e426be83d1dccad
3/30/2019 11:17,Card,125,1.93515E+14,,a5b6697559824f60883046ed0af80acf
4/4/2019 14:03,ACH,697.5,178518295,eee647dc-f438-45da-a21c-909d594b2b07,eee647dcf43845daa21c909d594b2b07
4/2/2019 11:30,ACH,375,1402846415,e1c030e3-0a70-437d-a92d-7a5dac586502,e1c030e30a70437da92d7a5dac586502
4/2/2019 11:29,ACH,300,1402846415,32bb13a1-02ef-4419-9485-64c02607afc5,32bb13a102ef4419948564c02607afc5
4/2/2019 11:28,ACH,375,1402846415,76097adf-fc4d-4b51-b3b7-c30f39cf2e75,76097adffc4d4b51b3b7c30f39cf2e75
4/1/2019 12:36,ACH,250,1378079780,,5eeac22bd32749d2834b71755a9fe813
4/1/2019 11:58,ACH,10,1377194815,,07a098451a664453b24aefe995c5b889
4/1/2019 15:47,ACH,3096.97,1329452580,e2463455-d0cf-4f9d-9483-c91677751fbb,e2463455d0cf4f9d9483c91677751fbb
3/30/2019 9:33,ACH,3759.83,1279210795,,1ac804e15e5e4c618563dd7291c96c83
4/2/2019 14:18,Card,2000,1.23146E+14,0f7565ab-993c-43d5-9550-d8baf8c3230f,0f7565ab993c43d59550d8baf8c3230f
4/1/2019 7:56,ACH,7170.94,1.23146E+14,270bfcc4-c2de-417e-bd9b-55ffa8d3e8ce,270bfcc4c2de417ebd9b55ffa8d3e8ce
4/1/2019 15:46,Card,5000,1.23146E+14,a3113bff-1129-4e2c-8303-3d721155f2e6,a3113bff11294e2c83033d721155f2e6
3/29/2019 10:13,ACH,5000,1.23146E+14,,48f0acbfe36e48079af5dbfba3dc1549
3/29/2019 10:08,ACH,7500,1.23146E+14,,32303905864e456491e312c8091841bd
3/31/2019 12:37,ACH,1000,1.23146E+14,d156c955-4bca-4b9a-8dd2-8e696464c619,d156c9554bca4b9a8dd28e696464c619
3/29/2019 12:26,Card,1200,1.23146E+14,,7519ca6babbc43a1849dbbddc90730e1
3/29/2019 11:10,Card,800,1.23146E+14,,9fc9a897f05744afa67a81d0c10dc309
4/3/2019 14:48,ACH,10,1.23146E+14,,44e00ab89f7f4065855ce1321e8db296
4/3/2019 12:28,ACH,10500,1.23146E+14,c3feb7bc-8015-46e7-9858-9ff2550147bf,c3feb7bc801546e798589ff2550147bf
4/1/2019 14:35,Card,35.31,1.23146E+14,3d370efb-4061-4b90-bb84-f6d804d4e8dc,3d370efb40614b90bb84f6d804d4e8dc
4/2/2019 8:28,ACH,10000,1.23146E+14,89db6dba-86c1-421d-a06a-5514d5150ab5,89db6dba86c1421da06a5514d5150ab5
3/29/2019 16:41,ACH,1700,1.23146E+14,,116d429ede92412a91159d7ae18a8dbb
3/29/2019 7:49,ACH,2000,1.23146E+14,,90742b41fe924390995c57c4bc888efb
3/31/2019 11:46,Card,8000,1.23146E+14,e3fd49fb-1051-4e3d-b73a-51d587b38953,e3fd49fb10514e3db73a51d587b38953
4/3/2019 5:19,ACH,305,1.23146E+14,,8e25623c8a114170a22924fc504ced80
4/2/2019 10:47,ACH,1380,1.23146E+14,b42c3fe1-f2aa-4ed3-b613-3f8ac9f3523f,b42c3fe1f2aa4ed3b6133f8ac9f3523f
4/1/2019 12:23,ACH,1200,1.23146E+14,e6743299-df0e-4638-b67e-36ec94122075,e6743299df0e4638b67e36ec94122075
4/1/2019 14:41,ACH,14650,1.23146E+14,023867af-60ba-4086-9ffe-3b0671e8c88f,023867af60ba40869ffe3b0671e8c88f
3/29/2019 7:50,ACH,2700,1.23146E+14,,ebdfbaaa9e08442294769661791b9d9e
4/2/2019 14:14,Card,3319.72,1.23146E+14,03062117-5e2a-418b-a808-7ef586ab7775,030621175e2a418ba8087ef586ab7775
4/2/2019 12:58,ACH,10000,1.23146E+14,ee21e75d-4e54-4d33-b18e-4796b8fe1412,ee21e75d4e544d33b18e4796b8fe1412
4/2/2019 12:55,ACH,11400,1.23146E+14,,ee21e75d4e544d33b18e4796b8fe1412
4/2/2019 1:19,ACH,75,1.23146E+14,,09b313b472324398838b229cceaebea0
4/2/2019 10:55,ACH,3894,1.23146E+14,c6ea48f4-6f17-4d1b-8962-fe061549a365,c6ea48f46f174d1b8962fe061549a365
4/1/2019 16:08,ACH,7680.5,1.23146E+14,6c8fb907-79f7-4e15-94c2-bff420a1210d,6c8fb90779f74e1594c2bff420a1210d
4/2/2019 12:19,ACH,50,1.23146E+14,c3d6bf21-458c-430a-9670-3101daa6d4f5,c3d6bf21458c430a96703101daa6d4f5
4/2/2019 3:46,ACH,1000.08,1.23146E+14,c0e38e23-13d1-497c-85ea-7db32f98ff19,c0e38e2313d1497c85ea7db32f98ff19
4/1/2019 9:20,ACH,300,1.23146E+14,,bb74829efe224b6ba5c4094eab8d3c67
3/29/2019 15:42,ACH,322.5,1.23146E+14,,957b1da79c1044d0ab31ae2b9c669c4c
4/2/2019 7:14,ACH,335,1.23146E+14,,1a53bee4aea64483827c0d203ea93de6
4/1/2019 10:00,ACH,206.19,1.23146E+14,,01b68820599a4bc48ea996ab337e752d
4/2/2019 10:03,ACH,753.75,110297308,bfaa1436-02c2-4062-b930-bf91fde35592,bfaa143602c24062b930bf91fde35592
3/31/2019 16:56,ACH,4140,1.23146E+14,44ba162b-d4fa-4cd5-bc07-a002f54c53d7,44ba162bd4fa4cd5bc07a002f54c53d7
